questions
"Si la cultura tuviera una cuenta bancaria, ¿a quién pertenecería?"
"Si pudieras practicar la magia o escribir canciones, ¿qué elegirías?"
"Si Dios fuera una voz, ¿de quién sería?"
"Si la inteligencia fuera un material, ¿cuál sería?"
"Si el espíritu abierto fuera un coche, ¿cuáles serían sus características?"
"Si el arte sólo fuera visible por la noche, ¿qué cambiaría en nuestras vidas?"
"Si el deseo fuera una bebida, ¿a qué sabría?"
"Si la democracia tuviera un fallo, ¿quién sería capaz de arreglarlo?"
"Si la verdad fuera de todos, ¿tendría algún sentido?"
"Si las ideas volaran en el aire, ¿cómo se atraparían las mejores?"
"Si el amanecer fuera una música, ¿cuál sería?"
"Si la política fuera una partida de póquer, ¿qué pasaría con los perdedores?"
"Si tu mejor amigo fuera un juguete sexual, ¿qué sería?"
"Si el alma fuera un instrumento musical, ¿qué sería?"
"Si tus padres fueran zapatos, ¿de qué estilo serían?"
"Si tu ropa fuera uno de los 4 elementos, ¿cuál sería?"
"Si el miedo tuviera un nombre, ¿cuál sería?"
"Si la sorpresa fuera un día del año, ¿cuál sería?"
"Si el juicio fuera una expresión facial, ¿qué aspecto tendría?"
"Si la salud fuera un programa informático, ¿qué pasaría si fuera hackeado?"
"Si la escuela fuera una droga, ¿qué curaría?"
"Si tu próxima relación sexual fuera una canción, ¿qué querrías que fuera?"
"Si dar las gracias tuviera un olor, ¿cuál sería?"
"Si tu idea fuera un corte de pelo, ¿cuál sería y por qué?"
"Si el amanecer fuera una música, ¿qué sería?"
"Si la moda fuera una fruta, ¿qué aspecto tendría?"
"Si fueras un planeta, ¿a quién quisieras rodear ? ¿Cuántos satélites querrías tener?"
"Si el odio fuera una ciudad, ¿cuál sería?"
"Si la historia la escribieran las nubes, ¿qué contaría?"
"Si la razón llevara a resultados inmorales, ¿a qué deberíamos dar privilegio?"
"Si la autonomía fuera una obligación, ¿cómo sería el mundo?"
"Si tus pedos fueran gas de la risa, ¿lo usarías en un funeral?"
"Si la venganza fuera un plato que se pudiera comer frío, ¿a qué sabría?"
"Si las nubes tuvieran la forma de lo que te gusta, ¿qué aspecto tendrían?"
"Si la desconfianza fuera una prenda de vestir, ¿qué aspecto tendría?"
"Si tus ojos fueran piedras preciosas, ¿cuáles serían?"
"Si la ficción fuera un dispositivo electrónico, ¿cuál sería?"
"Si tus recuerdos fueran un edificio, ¿cuál sería?"
¿Es peor roncar o tirarse un pedo en la cama?
"Si la vergüenza fuera un deporte, ¿cuál sería?"
"Si el entusiasmo fuera un medio de comunicación, ¿cuál sería?"
¿Cuándo no deberías obedecer? Explica.
¿Hay momentos en los que tienes derecho a ser malo?
¿Cómo sería tu escuela ideal? Explica.
¿Hay diferentes tipos de amor? Explica.
¿Pueden otros tener derecho sobre tu cuerpo? Explica.
¿Deberían los niños poder establecer sus propias reglas? ¿Por qué?
"Si pudieras decidir sobre una nueva norma que todo el mundo siguiera, ¿Cuál sería? ¿Por qué?"
¿Cómo sería una ciudad en armonía con la naturaleza?
"Dentro de 100 años, ¿cómo podremos diferenciar a los humanos de los robots?"
¿Pueden los objetos hacernos felices? Explica.
Imagina que conoces a un humano del futuro. ¿Qué le preguntarías? ¿Por qué?
"Si ya no muriera nadie, ¿qué pasaría? Explica."
¿Hablaremos todos el mismo idioma algún día? ¿Por qué?
¿Por qué a veces es difícil expresarse?
¿Los seres humanos forman parte de la naturaleza? ¿Por qué forman parte de ella?
"Si todo el mundo hiciera una sola y la misma cosa para mejorar la sociedad, ¿cuál sería? Explica."
¿Envejecer es una enfermedad? Explica.
¿Se piensa mejor si se domina un idioma? Explica.
"¿Qué significa tener un cuerpo ""normal""?"
"Si todos somos diferentes, ¿por qué vamos todos a la misma escuela?"
¿Podrías vivir sin los demás? Explica.
¿Nuestros teléfonos nos liberan o nos convierten en esclavos? Explica.
"Si supieras de antemano el día en que vas a morir, ¿cambiaría tu forma de vivir? ¿Por qué lo haría?"
¿En qué condiciones puede valer la pena vivir una vida sin felicidad? Explica.
"Si has olvidado tu infancia, ¿significa que el niño que eras ha muerto? Explícalo."
"Si pudieras dejar de crecer y seguir siendo un niño toda tu vida, ¿lo harías? ¿Por qué?"
"Si nadie más se hablaría entre ellos, ¿qué pasaría?"
¿Tenemos derecho a no escuchar a alguien que intenta hablarnos? ¿Por qué?
¿Podrías ser feliz sin jugar? ¿Por qué?
¿Cómo sabes si eres feliz o no?
"Si dejas de pensar, ¿dejas de existir?"
¿Puedes aprender cosas nuevas cada día?
¿Seguirás siendo la misma persona dentro de diez años? Explica.
¿Es mejor que tus amigos sean como tú o que sean diferentes? ¿Por qué?
¿Deberíamos tener el derecho de comprar la naturaleza? ¿Por qué?
"Si ver televisión te hiciera menos inteligente, ¿dejarías de verla? ¿Por qué?"
¿Es siempre bella la naturaleza? Explica.
¿Son los humanos mejores que otros animales? Explica.
¿Debe ser útil la ciencia? ¿Por qué?
"Si pudieras elegir, ¿preferirías que tus futuros profesores fueran robots o humanos? Explica."
"Si pudiéramos fabricar pastillas que te hicieran dejar de envejecer, ¿las tomarías? ¿Por qué?"
¿Es mejor tener malos pensamientos a no tenerlos? ¿Por qué?
¿Tendrías razón en querer ser diferente a los demás? ¿Por qué?
¿Puede considerarse arte la publicidad?
¿Puede ser más bello pintar una flor que la propia flor? ¿Por qué?
¿Serías una mala persona si te burlaras completamente de la naturaleza? Explica.
¿Podemos ser felices aunque nos sintamos solos? Explica.
¿Imaginar la muerte de alguien te convierte en un criminal?
¿Deberíamos detener el desarrollo de ciertas ciencias?
¿Deberíamos tener el derecho de vender partes de nuestro cuerpo? ¿Por qué?
"Ya que cambias con el tiempo, ¿sigues siendo la misma persona que eras ayer? Explica."
¿Por qué debemos esperar varios años antes de convertirnos en ciudadanos de un país?
"Si tu salvarías vidas en otro país, ¿deberías recibir la ciudadanía de este? ¿Por qué?"
¿Debemos aceptar a los racistas? ¿Por qué?
¿Puede algo ser a la vez natural y artificial? Explica.
¿Prefieres leer un periódico que comparta tus opiniones o un periódico que te cuestione? Explica.
¿Tienes libre albedrío? Explica.
¿Cuándo deberíamos luchar contra nuestros deseos?
¿Deberíamos encarcelar a las personas que impiden que otros sean felices?
¿Ser amado puede hacernos infelices? Explica.
