Français,English,Español,Deutsch
Est-ce qu'on pense mieux en maîtrisant un langage ? Explique.,Does one think better by mastering a language? Explain.,¿Se piensa mejor si se domina un idioma? Explica.,"Kann man besser denken, wenn man eine Sprache beherrscht? Bitte erklären."
"Qu'est-ce que ça veut dire d'avoir un corps ""normal"" ?","What does it mean to have a ""normal"" body?","¿Qué significa tener un cuerpo ""normal""?","Was bedeutet es, einen ""normalen"" Körper zu haben?"
"Si nous sommes tous différents, pourquoi allons-nous tous à la même école?","If we are all different, why do we all go to the same school?","Si todos somos diferentes, ¿por qué vamos todos a la misma escuela?","Wenn wir alle verschieden sind, warum gehen wir dann alle auf die gleiche Schule?"
Est-ce que tu pourrais vivre sans les autres ? Explique.,Could you live without the others? Explain.,¿Podrías vivir sin los demás? Explica.,Kannst du ohne die anderen leben? Bitte erklären.
Est-ce que nos téléphones nous rendent libres ou esclaves ? Explique.,Do our phones set us free or do they make us slaves? Explain.,¿Nuestros teléfonos nos liberan o nos convierten en esclavos? Explica.,Befreien uns unsere Telefone oder machen sie uns zu Sklaven? Bitte erklären.
"Si tu connaissais à l'avance le jour de ta mort, est-ce que ça changerait ta façon de vivre ? Pourquoi ?","If you knew in advance the day you would die, would it change the way you live? Why would it?","Si supieras de antemano el día en que vas a morir, ¿cambiaría tu forma de vivir? ¿Por qué lo haría?","Wenn du im Voraus wüsste, an welchem Tag du sterben würdest, würde das deine Lebensweise verändern? Warum sollte es das?"
À quelle condition une vie sans bonheur peut quand même valoir la peine d'être vécue ? Explique.,Under what conditions can a life without happiness still be worth living? Please explain.,¿En qué condiciones puede valer la pena vivir una vida sin felicidad? Explica.,Unter welchen Bedingungen kann ein Leben ohne Freude noch lebenswert sein? Bitte erklären.
"Si tu as oublié ton enfance, est-ce que ça veut dire que l'enfant que tu étais est mort ? Explique.","If you have forgotten your childhood, does that mean that the child you were is dead? Please explain.","Si has olvidado tu infancia, ¿significa que el niño que eras ha muerto? Explícalo.","Wenn du deine Kindheit vergessen hast, bedeutet das, dass das Kind, das du warst, tot ist? Bitte erklären."
"Si tu pouvais arrêter de grandir et rester un enfant toute ta vie, est-ce que tu le ferais ? Pourquoi ?","If you could stop growing up and remain a child all your life, would you do it? Why would you do that?","Si pudieras dejar de crecer y seguir siendo un niño toda tu vida, ¿lo harías? ¿Por qué?","Wenn du aufhören könntest, erwachsen zu werden, und dein ganzes Leben lang ein Kind bleiben könntest, würdest du es tun? Warum würdest du das tun?"
"Si plus personne ne se parlait, qu'arriverait-il ?","If no one spoke to each other anymore, what would happen?","Si nadie más se hablaría entre ellos, ¿qué pasaría?","Wenn niemand mehr miteinander sprechen würde, was würde passieren?"
Est-ce qu'on a le droit de ne pas écouter quelqu'un qui cherche à nous parler ? Pourquoi ?,Do we have the right not to listen to someone who tries to talk to us? Why not?,¿Tenemos derecho a no escuchar a alguien que intenta hablarnos? ¿Por qué?,"Haben wir das Recht, jemandem nicht zuzuhören, der versucht, mit uns zu reden? Und warum nicht?"
Est-ce que tu pourrais être heureux sans jouer ? Pourquoi ?,Could you be happy without playing? Why should you not play?,¿Podrías ser feliz sin jugar? ¿Por qué?,"Könntest du glücklich sein, ohne zu spielen? Warum solltest du nicht spielen?"
Comment sais-tu si tu es heureux ou pas ?,How do you know if you are happy or not?,¿Cómo sabes si eres feliz o no?,"Woher weiß man, ob man glücklich ist oder nicht?"
"Si tu arrêtes de penser, est-ce que tu arrêtes d'exister ?","If you stop thinking, do you stop existing?","Si dejas de pensar, ¿dejas de existir?","Wenn du aufhörst zu denken, hörst du auf zu existieren?"
Est-ce que tu peux apprendre de nouvelles choses tous les jours ?,Can you learn new things every day?,¿Puedes aprender cosas nuevas cada día?,Kannst du jeden Tag neue Dinge lernen?
Est-ce que dans 10 ans tu seras toujours la même personne ? Explique.,Will you still be the same person ten years from now? Explain.,¿Seguirás siendo la misma persona dentro de diez años? Explica.,Wirst du in zehn Jahren immer noch dieselbe Person sein? Bitte erklären.
Est-ce qu'il vaut mieux que tes amis te ressemblent ou soient différents ? Pourquoi ?,Is it better if your friends are like you or are different? Why should they be different?,¿Es mejor que tus amigos sean como tú o que sean diferentes? ¿Por qué?,"Ist es besser, wenn deine Freunde wie du sind oder anders sind? Warum sollten sie anders sein?"
Est-ce qu'on devrait avoir le droit d'acheter la nature ? Pourquoi ?,Should we be allowed to buy nature? Why ?,¿Deberíamos tener el derecho de comprar la naturaleza? ¿Por qué?,"Sollte man uns erlauben, die Natur zu kaufen? Warum?"
"Si regarder la télévision rendait moins intelligent, arrêterais-tu de la regarder ? Pourquoi ?","If watching television made you less intelligent, would you stop watching it? Why would you stop?","Si ver televisión te hiciera menos inteligente, ¿dejarías de verla? ¿Por qué?","Wenn das Fernsehen dich weniger intelligent machen würde, würdest du dann aufhören, es zu schauen? Warum würdest du aufhören?"
Est-ce que la nature est toujours belle ? Explique.,Is nature always beautiful? Explain.,¿Es siempre bella la naturaleza? Explica.,Ist die Natur immer schön? Bitte erklären.
Les humains sont-ils meilleurs que les autres animaux ? Explique.,Are humans better than other animals? Explain.,¿Son los humanos mejores que otros animales? Explica.,Sind Menschen besser als andere Tiere? Bitte erklären..
Est-ce que les sciences devraient être utiles ? Pourquoi ?,Should science be useful? Why ?,¿Debe ser útil la ciencia? ¿Por qué?,Sollte Wissenschaft nützlich sein? Warum?
"Si tu avais le choix, préfèrerais-tu que tes futurs professeurs soient des robots ou des humains ? Explique.","If you had a choice, would you prefer your future teachers to be robots or humans? Explain.","Si pudieras elegir, ¿preferirías que tus futuros profesores fueran robots o humanos? Explica.","Wenn Du die Wahl hättest, würdest Du es vorziehen, dass Deine zukünftigen Lehrer ein Roboter oder  ein Menschen ist? Bitte erklären."
"Si on savait fabriquer des pilules qui font arrêter de vieillir, en prendrais-tu ? Pourquoi ?","If we could make pills that make you stop aging, would you take them? Why would you take them?","Si pudiéramos fabricar pastillas que te hicieran dejar de envejecer, ¿las tomarías? ¿Por qué?","Wenn wir Pillen herstellen könnten, die das Altern aufhalten, würdest du sie nehmen? Warum würdest du sie nehmen?"
Est-ce qu'il vaut mieux avoir des mauvaises pensées ou pas de pensées du tout ? Pourquoi ?,Is it better to have bad thoughts or no thoughts at all? Why is it better?,¿Es mejor tener malos pensamientos a no tenerlos? ¿Por qué?,"Ist es besser, schlechte oder gar keine Gedanken zu haben? Warum ist es besser?"
Est-ce que tu aurais raison de vouloir être différent des autres ? Pourquoi ?,Would you be right to want to be different from others? Why would you do that?,¿Tendrías razón en querer ser diferente a los demás? ¿Por qué?,"Wäre es richtig, sich von anderen unterscheiden zu wollen? Warum würdest du das tun?"
La publicité peut-elle être considérée comme de l'art?,Can advertising be considered art?,¿Puede considerarse arte la publicidad?,Kann Werbung als Kunst angesehen werden?
La peinture d'une fleur peut-elle être plus belle que la fleur elle-même? Pourquoi?,Can painting a flower be more beautiful than the flower itself? Why is that?,¿Puede ser más bello pintar una flor que la propia flor? ¿Por qué?,Kann das Malen einer Blume schöner sein als die Blume selbst? Warum ist das so?
Serais-tu une mauvaise personne si tu te moques complètement de la nature ? Explique.,Would you be a bad person if you made a complete mockery of nature? Explain.,¿Serías una mala persona si te burlaras completamente de la naturaleza? Explica.,"Wärst du ein schlechter Mensch, wenn du die Natur völlig zum Gespött der Leute machen würdest? Bitte erklären."
Est-ce qu'on peut être heureux même si on se sent seul ? Explique.,Can we be happy even if we feel lonely? Explain.,¿Podemos ser felices aunque nos sintamos solos? Explica.,"Können wir glücklich sein, auch wenn wir uns einsam fühlen? Bitte erklären."
Imaginer la mort de quelqu'un fait-il de nous un criminel?,Does imagining someone's death make you a criminal?,¿Imaginar la muerte de alguien te convierte en un criminal?,Macht die Vorstellung vom Tod eines Menschen dich zu einem Kriminellen?
Devrait-on arrêter le développement de certaines sciences?,Should we stop the development of certain sciences?,¿Deberíamos detener el desarrollo de ciertas ciencias?,Sollten wir die Entwicklung bestimmter Wissenschaften stoppen?
Est-ce qu'on devrait avoir le droit de vendre des parties notre corps ? Pourquoi ?,Should we be allowed to sell parts of our body? Why should we?,¿Deberíamos tener el derecho de vender partes de nuestro cuerpo? ¿Por qué?,"Sollte es uns erlaubt sein, Teile unseres Körpers zu verkaufen? Warum sollten wir das dürfen?"
"Puisque tu changes avec le temps, est-ce que tu es quand même la même personne qu'hier ? Explique.","Since you change over time, are you still the same person you were yesterday? Explain.","Ya que cambias con el tiempo, ¿sigues siendo la misma persona que eras ayer? Explica.","Da du dich mit der Zeit veränderst, bist du immer noch dieselbe Person, die du gestern warst? Bitte erklären."
Pourquoi devrait-on attendre plusieurs années avant de devenir citoyen d'un pays?,Why should we have to wait several years before becoming a citizen of a country?,¿Por qué debemos esperar varios años antes de convertirnos en ciudadanos de un país?,"Warum sollten wir mehrere Jahre warten müssen, bevor wir Bürger eines Landes werden können?"
"Si tu sauves des vies dans un autre pays, est-ce qu'on devrait te donner la citoyenneté de ce pays ? Pourquoi ?","If you save lives in another country, should you be given the citizenship of that country? Why should you be given citizenship?","Si tu salvarías vidas en otro país, ¿deberías recibir la ciudadanía de este? ¿Por qué?","Wenn du in einem anderen Land Leben rettest, solltest du dann die Staatsbürgerschaft dieses Landes erhalten? Warum solltest du die Staatsbürgerschaft erhalten?"
Doit-on accepter les racistes ? Pourquoi ?,Should we accept racists? Why should we accept racists?,¿Debemos aceptar a los racistas? ¿Por qué?,Sollten wir Rassisten akzeptieren? Warum sollten wir Rassisten akzeptieren?
Est-ce que quelque chose peut être à la fois naturel et artificiel ? Explique.,Can something be both natural and artificial? Explain.,¿Puede algo ser a la vez natural y artificial? Explica.,Kann etwas sowohl natürlich als auch künstlich sein? Erklären Sie das.
Est-ce que tu devrais plutôt lire un journal qui partage tes opinions ou un journal qui te remets en question ? Explique.,Should you rather read a newspaper that shares your opinions or a newspaper that questions you? Explain.,¿Prefieres leer un periódico que comparta tus opiniones o un periódico que te cuestione? Explica.,"Solltest du lieber eine Zeitung lesen, die deine Meinung teilt oder eine Zeitung, die dich befragt? Bitte erklären."
Est-ce que tu as un libre-arbitre ? Explique.,Do you have free will? Explain.,¿Tienes libre albedrío? Explica.,Hast du einen freien Willen? Bitte erklären.
Quand devrions-nous lutter contre nos envies ?,When should we fight our desires?,¿Cuándo deberíamos luchar contra nuestros deseos?,Wann sollten wir unsere Wünsche bekämpfen?
Devrait-on mettre en prison les personnes qui empêchent d'autres personnes d'être heureuses ?,Should we put people who prevent others from being happy in prison?,¿Deberíamos encarcelar a las personas que impiden que otros sean felices?,"Sollen wir Menschen, die andere daran hindern, glücklich zu sein, ins Gefängnis stecken?"
Est-ce qu'être aimé peut nous rendre malheureux ? Explique.,Can being loved make us unhappy? Explain.,¿Ser amado puede hacernos infelices? Explica.,"Kann es uns unglücklich machen, geliebt zu werden? Bitte erklären."
